Technology,Power_TWh,Heat_TWh,H2_TWh,Capacity_GW,MaxCapacity_GW,Cost_MiEUR,Emissions_MtCO2e
SolarPV,130.1482,0.0,0.0,100.0,100.0,0.0,92.35316272
WindOnshore,186.588,0.0,0.0,71.0,71.0,0.0,0.0
WindOffshore,70.08,0.0,0.0,20.0,20.0,0.0,0.0
Hydro,13.1838,0.0,0.0,4.3,4.3,0.0,0.3823302
BiomassCHP,0.0,0.0,0.0,7.5,7.5,0.0,-0.0
CoalMine,0.0,0.0,0.0,0.0,Inf,0.0,-0.0
GasExtractor,0.0,0.0,0.0,0.0,Inf,0.0,-0.0
CoalPowerPlant,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
GasPowerPlant,70.0,0.0,0.0,16.647640791476405,Inf,16099.999999999998,4.62
CoalCHPPlant,140.0,0.0,0.0,73.98951462878404,Inf,18200.0,2.3800000000000003
GasCHPPlant,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
Power2Heat,0.0,1100.0,0.0,528.7190579187695,Inf,0.0,0.0
CoalGazification,0.0,0.0,90.0,29.354207436399218,Inf,2702.7,1.35
SteamMethaneReforming,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
Electrolysis,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
,,,,,,,
UnservedDemand,0.0,0.0,0.0,,,,
Demand,610.0,1100.0,90.0,,,,
