Technology,Power_TWh,Heat_TWh,H2_TWh,Capacity_GW,MaxCapacity_GW,Cost_MiEUR,Emissions_MtCO2e
SolarPV,131.4,0.0,0.0,100.0,100.0,0.0,3.8106000000000004
WindOnshore,186.588,0.0,0.0,71.0,71.0,0.0,2.79882
WindOffshore,70.08,0.0,0.0,20.0,20.0,0.0,1.19136
Hydro,13.1838,0.0,0.0,4.3,4.3,0.0,0.2504922
BiomassCHP,11.825999999999999,21.680999999999997,0.0,7.5,7.5,0.0,7.70661
CoalMine,0.0,0.0,0.0,363.93869863013697,Inf,35094.637824,105.8450196
GasExtractor,0.0,0.0,0.0,0.0,Inf,0.0,0.0
CoalPowerPlant,0.0,0.0,0.0,0.0,Inf,0.0,0.0
GasPowerPlant,0.0,0.0,0.0,0.0,Inf,0.0,0.0
CoalCHPPlant,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
GasCHPPlant,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
Power2Heat,0.0,1078.319,0.0,518.2980052871906,Inf,0.0,377.41165
CoalGazification,0.0,0.0,1275.2412,415.9299412915851,Inf,38295.493236,84.1659192
SteamMethaneReforming,0.0,0.0,0.0,0.0,Inf,0.0,0.0
Electrolysis,0.0,0.0,0.0,0.0,Inf,0.0,0.0
FuelCell,1275.2412,0.0,0.0,404.37633181126336,Inf,29203.023479999996,0.0
,,,,,,,
UnservedDemand,0.0,0.0,0.0,,,,
Demand,610.0,1100.0,0.0,,,,
